aed7883d-f097-49fc-b3e8-a7eb30222fda,{'netflow': '192.168.56.102:50380->192.168.56.101:16415'},1268
cbe5aaa0-06e1-4314-ac20-12ded09716a6,{'netflow': '192.168.56.102:50636->192.168.56.101:16415'},1286
a2097189-efb6-451d-8fd7-a6704e42031e,{'netflow': '192.168.56.102:50892->192.168.56.101:16415'},1287
e28bdfe5-8b42-4972-9ea4-4f5be3900837,{'netflow': '192.168.56.102:51916->192.168.56.101:16415'},1323
e750c29f-d4eb-44ae-bfec-79002c56f836,{'netflow': '192.168.56.102:52172->192.168.56.101:16415'},1324
da053f9e-8065-4e1a-b776-2b94e614852a,{'netflow': '192.168.56.102:52428->192.168.56.101:16415'},1342
2092b463-132c-414b-8803-b8a4237777fe,{'netflow': '192.168.56.102:52684->192.168.56.101:16415'},1343
e0381694-372e-4911-a10f-69c6d2c195ba,{'netflow': '192.168.56.102:52940->192.168.56.101:16415'},1346
5571eec4-a252-4b84-988b-32364547eb9e,{'file': 'C:\\Users\\victim\\Downloads\\AESTHETIC_PACKET.dll'},1375
60c27527-60ef-4b32-9848-95031d7232d4,{'subject': 'regsvr32  C:\\Users\\victim\\Downloads\\AESTHETIC_PACKET.dll'},2196
3c02884d-ebdd-4235-a0fd-64b2b9c3e08f,{'netflow': '192.168.56.102:56268->192.168.56.101:2586'},2199
8f8daa25-b4b1-4e01-9ffe-5d9b74a31624,{'netflow': '192.168.56.102:14797->192.168.56.101:16415'},50694
9aebbdfd-4b99-40f2-9632-49d254004428,{'netflow': '192.168.56.102:15053->192.168.56.101:16415'},50695
fa6427ae-452f-48e1-a520-53494724a0ca,{'netflow': '192.168.56.102:15309->192.168.56.101:16415'},50696
4c233568-ec57-4eb2-a8a4-3ead0ddb1d28,{'file': 'C:\\Users\\victim\\Downloads\\VITAL_SQUASH.exe'},50706
ac2474bc-8387-4540-b78d-7aa99768570f,"{'subject': 'cmd.exe /c ""REG ADD \\""HKCU\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Run\\"" /V \\""Atomic Red Team\\"" /t REG_SZ /F /D \\""C:\\Users\\victim\\Downloads\\VITAL_SQUASH.exe\\""""'}",50712
7accf6cc-69f9-4e32-86bb-60462b80f09d,"{'subject': 'REG  ADD \\""HKCU\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Run\\"" /V \\""Atomic Red Team\\"" /t REG_SZ /F /D \\""C:\\Users\\victim\\Downloads\\VITAL_SQUASH.exe\\""'}",50715
edaeab67-db78-465b-a1bc-bf81e810fcdb,"{'subject': '""C:\\Users\\victim\\Downloads\\VITAL_SQUASH.exe"" '}",50744
7b7b25ac-1f99-44d3-99df-b25d1f0e3f4f,{'file': 'VITAL_SQUASH.exe'},50745
ada70720-5abd-434f-b6fb-8cef32e6948b,{'netflow': '192.168.56.102:16845->192.168.56.101:2586'},50746
